Exam sources,Source,Nr,Date,Nr of Exercises,Exerc. Id,Weight,Topic,Lect. Topic,Due
Old Course,Old Course,1,2014-10-28,4,1,10,MC understanding,Fundamentals,2019-09-03
Brightspace,Old Course,1,2014-10-28,4,2,30,"mass, construction mass, V_e,id",Multi stage rockets,2019-09-17
Studeersnel,Old Course,1,2014-10-28,4,3,30,Balistic spherical flight range  angle phi_0,Balistic flight over earth,2019-10-01
Aerostudents,Old Course,1,2014-10-28,4,4,30,"Wind, constant thrust EOM vert. motion",Launch Trajectories,2019-09-05
,Old Course,2,2015-10-27,4,1,10,MC understanding,Fundamentals,2019-09-03
,Old Course,2,2015-10-27,4,2,30,"EOM vertical flight, mass,accel, multistage,V(Height)",Multi stage rockets,2019-09-17
,Old Course,2,2015-10-27,4,3,30,"Design traject,throtle control law,energy gain",Unconventional launch,2019-10-15
,Old Course,2,2015-10-27,4,4,30,"Spherical, gamma_0,psi_0,derive",Balistic flight over earth,2019-10-01
,Old Course,3,SampleExam,6,1,15,"Vertic Flight, V(height),",Launch Trajectories,2019-09-05
,Old Course,3,SampleExam,6,2,15,"Spherical,elipse Polar,alt,inclination",Balistic flight over earth,2019-10-01
,Old Course,3,SampleExam,6,3,15,"Multi stage,Vend, limit case infinte nr of stages",Multi stage rockets,2019-09-17
,Old Course,3,SampleExam,6,4,15,"EOM, rail launch,flight path angle gamma_0",Unconventional launch,2019-10-15
,Old Course,3,SampleExam,6,5,15,"EOM, orb period,Inertial launch params",Launch Trajectories,2019-09-05
,Old Course,3,SampleExam,6,6,15,"Multi stage, EOM vert flight,mass",Multi stage rockets,2019-09-17
,Brightspace,4,2016-10-31,4,1,10,MC understanding,Fundamentals,2019-09-03
,Brightspace,4,2016-10-31,4,2,30,"Multi stage, EOM vert flight,mass",Multi stage rockets,2019-09-17
,Brightspace,4,2016-10-31,4,3,30,"V(height),alts,Multistage",Multi stage rockets,2019-09-17
,Brightspace,4,2016-10-31,4,4,30,"Spherical,Flight range phi_0",Balistic flight over earth,2019-10-01
,Brightspace,4,2017-10-30,4,1,10,MC understanding,Fundamentals,2019-09-03
,Brightspace,4,2017-10-30,4,2,30,"mass,V_burnout,V(height)",Launch Trajectories,2019-09-05
,Brightspace,4,2017-10-30,4,3,30,"Non rotating Spherical,elips,polar,law of conserv",Balistic flight over earth,2019-10-01
,Brightspace,4,2017-10-30,4,4,30,"T_constant,EOM vertical derive",Launch Trajectories,2019-09-05
,Studeersnel,5,2010-06-28,2,1,50,"Re-entry/ballistic flight,velocity,fligth path gamma",Balistic flight over earth,2019-10-01
,Studeersnel,5,2010-06-28,2,2,50,"Inertial, Reference frame,Orbital period",Balistic flight over earth,2019-10-01
,Studeersnel,6,2009-06-18,2,1,50,"Mass,V(heights)",Launch Trajectories,2019-09-05
,Studeersnel,6,2009-06-18,2,2,50,re-entry,Balistic flight over earth,2019-10-01
,Studeersnel,7,2009-01-20,2,1,50,Re-entry,Balistic flight over earth,2019-10-01
,Studeersnel,7,2009-01-20,2,2,50,"Multistage,mass,v,lambda,diameter",Multi stage rockets,2019-09-17
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
,,,,,,,,,#N/A
